second,cluster_id,threat,node_ids,genders,gestures
1,1,GREEN,1,female,RUNNING_AWAY
1,2,GREEN,2,female,WALKING
1,3,GREEN,4,male,WALKING
1,1,GREEN,1,male,RUNNING_AWAY
1,2,GREEN,2,male,WALKING
1,3,GREEN,4,male,WALKING
2,1,GREEN,1,male,RUNNING_AWAY
2,2,GREEN,"6,2","female,female","WALKING,WALKING"
2,3,GREEN,4,female,WALKING
3,1,GREEN,"1,6,2","male,female,male","RUNNING_AWAY,WALKING,WALKING"
3,2,GREEN,4,female,WALKING
4,1,GREEN,"1,6,2","female,male,male","RUNNING_AWAY,WALKING,WALKING"
4,2,GREEN,"8,4","male,female","WALKING,WALKING"
5,1,GREEN,"1,6,2","male,female,male","WALKING,WALKING,WALKING"
5,2,GREEN,"8,4","male,female","WALKING,WALKING"
6,1,GREEN,"1,6,2","female,female,male","WALKING,WALKING,WALKING"
6,2,GREEN,"8,4","male,female","WALKING,WALKING"
1,1,GREEN,"4,3,5,1","female,male,female,male","WALKING,WALKING,RUNNING_AWAY,WALKING"
1,2,GREEN,"6,2","female,female","WALKING,STANDING"
2,1,RED,"3,4,2,5,1,6","female,female,male,male,male,male","WALKING,WALKING,WALKING,RAISED_HAND,WALKING,WALKING"
2,2,RED,8,male,RAISED_HAND
3,1,GREEN,"3,4,2,5,1,6","male,male,female,male,male,male","WALKING,WALKING,WALKING,WALKING,WALKING,WALKING"
3,2,GREEN,8,female,WALKING
4,1,GREEN,"3,4,2,5,1,6","male,female,male,male,female,male","WALKING,WALKING,RUNNING_AWAY,WALKING,WALKING,WALKING"
4,2,GREEN,"10,8","female,female","WALKING,WALKING"
5,1,GREEN,"3,4,2,5,1,6","male,female,male,male,female,male","WALKING,WALKING,STANDING,WALKING,WALKING,WALKING"
5,2,GREEN,"10,8","male,female","WALKING,WALKING"
6,1,RED,"3,4,2,5,1,6","male,female,female,male,male,male","WALKING,WALKING,RAISED_HAND,WALKING,RUNNING_AWAY,WALKING"
6,2,GREEN,"10,8","male,female","WALKING,WALKING"
7,1,GREEN,"8,2,10,1,6","female,male,male,male,male","WALKING,WALKING,WALKING,RUNNING_AWAY,WALKING"
7,2,GREEN,"3,5,4","male,male,female","WALKING,WALKING,WALKING"
8,1,GREEN,"6,2,1","male,male,male","WALKING,WALKING,WALKING"
8,2,GREEN,"3,5","male,male","WALKING,WALKING"
8,3,GREEN,4,male,WALKING
8,4,GREEN,"10,8","male,female","WALKING,WALKING"
9,1,GREEN,"4,17,2,5,1,3","male,male,female,male,male,male","WALKING,WALKING,WALKING,WALKING,WALKING,WALKING"
9,2,GREEN,6,male,WALKING
9,3,GREEN,"10,8","male,female","WALKING,WALKING"
10,1,GREEN,"6,4,17,2,20,5,26,1,3","male,male,male,male,female,male,female,male,male","WALKING,WALKING,WALKING,WALKING,WAVING_FOR_HELP,WALKING,WALKING,WALKING,WALKING"
10,2,GREEN,"24,8,10","male,female,male","WALKING,WALKING,WALKING"
11,1,RED,"6,4,17,2,20,5,26,1,3","male,male,male,male,female,male,male,male,male","WALKING,WALKING,WALKING,WALKING,RAISED_HAND,WALKING,RUNNING_AWAY,WALKING,WALKING"
11,2,GREEN,"24,8,10","female,female,male","WALKING,WALKING,WALKING"
12,1,RED,"6,4,17,2,20,5,26,1,3","male,male,male,male,female,male,female,male,male","WALKING,WALKING,WALKING,WALKING,RAISED_HAND,WALKING,POINTING,WALKING,WALKING"
12,2,GREEN,"24,8,10","female,female,male","WALKING,WALKING,WALKING"
1,1,GREEN,"5,3,1,4","female,male,male,male","RUNNING_AWAY,WALKING,WALKING,WALKING"
1,2,GREEN,"2,6","female,female","STANDING,WALKING"
2,1,RED,"5,4,3,1,2,6","male,male,male,female,male,male","RAISED_HAND,WALKING,WALKING,WALKING,WALKING,WALKING"
2,2,RED,8,female,RAISED_HAND
3,1,GREEN,"5,4,3,1,2,6","female,female,male,female,female,male","WALKING,WALKING,WALKING,WALKING,WALKING,WALKING"
3,2,GREEN,8,male,WALKING
4,1,GREEN,"5,4,3,1,2,6","female,female,male,female,male,male","WALKING,WALKING,WALKING,WALKING,RUNNING_AWAY,WALKING"
4,2,GREEN,"8,10","male,female","WALKING,WALKING"
5,1,GREEN,"5,4,3,1,2,6","female,female,male,female,male,male","WALKING,WALKING,WALKING,WALKING,STANDING,WALKING"
5,2,GREEN,"8,10","male,female","WALKING,WALKING"
6,1,RED,"5,4,3,1,2,6","female,male,male,male,male,male","WALKING,WALKING,WALKING,RUNNING_AWAY,RAISED_HAND,WALKING"
6,2,GREEN,"8,10","male,female","WALKING,WALKING"
7,1,GREEN,"1,8,10,2,6","female,male,female,male,male","RUNNING_AWAY,WALKING,WALKING,WALKING,WALKING"
7,2,GREEN,"5,3,4","female,male,male","WALKING,WALKING,WALKING"
8,1,GREEN,"1,2,6","male,female,male","WALKING,WALKING,WALKING"
8,2,GREEN,"5,3","female,male","WALKING,WALKING"
8,3,GREEN,4,female,WALKING
8,4,GREEN,"8,10","male,female","WALKING,WALKING"
9,1,GREEN,"5,4,17,3,1,2","female,female,male,male,male,male","WALKING,WALKING,WALKING,WALKING,WALKING,WALKING"
9,2,GREEN,6,male,WALKING
9,3,GREEN,"8,10","male,female","WALKING,WALKING"
10,1,GREEN,"5,4,26,20,17,3,1,2,6","female,female,female,female,female,male,male,female,male","WALKING,WALKING,WALKING,WAVING_FOR_HELP,WALKING,WALKING,WALKING,WALKING,WALKING"
10,2,GREEN,"8,10,24","male,female,male","WALKING,WALKING,WALKING"
11,1,RED,"5,4,26,20,17,3,1,2,6","female,female,female,female,male,male,male,female,male","WALKING,WALKING,RUNNING_AWAY,RAISED_HAND,WALKING,WALKING,WALKING,WALKING,WALKING"
11,2,GREEN,"8,10,24","male,female,male","WALKING,WALKING,WALKING"
12,1,RED,"5,4,26,20,17,3,1,2,6","female,female,female,female,male,male,male,female,male","WALKING,WALKING,POINTING,RAISED_HAND,WALKING,WALKING,WALKING,WALKING,WALKING"
12,2,GREEN,"8,10,24","male,female,male","WALKING,WALKING,WALKING"
13,1,RED,"5,35,4,26,20,17,34,1,3,27,2,6","female,female,female,female,female,male,female,male,male,female,male,male","WALKING,POINTING,WALKING,RUNNING_AWAY,RAISED_HAND,WALKING,WALKING,WALKING,WALKING,SITTING,WALKING,WALKING"
13,2,GREEN,"8,10,24","male,female,male","WALKING,WALKING,WALKING"
1,1,GREEN,"3,1,5,4","male,male,female,female","SHOVING,SHOVING,SHOVING,WALKING"
1,2,GREEN,"6,2","female,female","WALKING,SHOVING"
2,1,RED,"4,2,5,1,3,6","female,male,male,female,female,female","SHOVING,SHOVING,RAISED_HAND,SHOVING,WALKING,WALKING"
2,2,RED,8,male,RAISED_HAND
3,1,GREEN,"4,2,5,1,3,6","female,female,male,male,male,female","SHOVING,WALKING,WALKING,SHOVING,WALKING,WALKING"
3,2,GREEN,8,female,WALKING
4,1,GREEN,"4,2,5,1,3,6","female,male,male,female,male,female","SHOVING,SHOVING,WALKING,SHOVING,WALKING,WALKING"
4,2,GREEN,"10,8","female,female","WALKING,WALKING"
5,1,GREEN,"4,2,5,1,3,6","male,female,male,female,male,female","SHOVING,SHOVING,WALKING,SHOVING,WALKING,WALKING"
5,2,GREEN,"10,8","female,female","WALKING,WALKING"
1,1,GREEN,"4,3,1,5","male,male,female,female","WALKING,SHOVING,SHOVING,SHOVING"
1,2,GREEN,"6,2","female,female","WALKING,SHOVING"
2,1,RED,"6,3,1,4,5,2","female,male,male,female,female,male","WALKING,WALKING,SHOVING,SHOVING,RAISED_HAND,SHOVING"
2,2,RED,8,female,RAISED_HAND
1,1,GREEN,"4,1,3,5","female,female,male,male","WALKING,SHOVING,SHOVING,SHOVING"
1,2,GREEN,"6,2","female,female","WALKING,SHOVING"
2,1,RED,"1,2,5,4,6,3","female,male,male,female,male,female","SHOVING,SHOVING,RAISED_HAND,SHOVING,WALKING,WALKING"
2,2,RED,8,female,RAISED_HAND
3,1,GREEN,"1,2,5,4,6,3","female,female,female,male,male,male","SHOVING,WALKING,WALKING,SHOVING,WALKING,WALKING"
3,2,GREEN,8,male,WALKING
4,1,GREEN,"1,2,5,4,6,3","male,female,female,female,male,male","SHOVING,SHOVING,WALKING,SHOVING,WALKING,WALKING"
4,2,GREEN,"8,10","male,male","WALKING,WALKING"
1,1,GREEN,"1,4,3,5","male,female,female,female","SHOVING,WALKING,SHOVING,SHOVING"
1,1,GREEN,"4,3,5,1","female,male,female,male","WALKING,SHOVING,SHOVING,SHOVING"
1,1,GREEN,"3,4,5,1","male,female,female,female","SHOVING,WALKING,SHOVING,SHOVING"
